ordinal,journey_kind,scheduled_at_unix_microseconds,offered_at_unix_microseconds,arrival_lag_microseconds,admission_status,admission_microseconds,completion_microseconds,authoritative_completion_microseconds,run_id,idempotency_replay_checked,idempotency_replay_passed,evidence_checked,evidence_passed,total_agent_runs,child_agent_runs,thread_events,workflow_instances,tool_calls,approvals,tool_attempts,error_class
464,measured-agent-decision,1785823381179222,1785823381205558,26336,201,1570964,8690022,1631236,run-root-183308,false,false,true,true,1,0,2,1,0,0,0,
465,measured-agent-decision,1785823381179222,1785823381206838,27616,201,1999250,9067140,2108379,run-root-183428,false,false,true,true,1,0,2,1,0,0,0,
466,measured-agent-decision,1785823381179222,1785823381206938,27716,201,2194702,9149171,2486635,run-root-183485,false,false,true,true,2,1,2,0,0,0,0,
467,measured-agent-decision,1785823381179222,1785823381207028,27806,201,2123550,9115361,2175732,run-root-183463,false,false,true,true,1,0,2,0,0,0,0,
468,measured-agent-decision,1785823381179222,1785823381207239,28017,201,1292999,8267866,1354234,run-root-183221,false,false,true,true,1,0,2,1,0,0,0,
469,measured-agent-decision,1785823381179222,1785823381207645,28423,201,2269147,9194829,2344099,run-root-183511,false,false,true,true,1,0,2,1,0,0,0,
470,measured-agent-decision,1785823381179222,1785823381208078,28856,201,2387240,9270363,2414346,run-root-183550,false,false,true,true,1,0,2,0,0,0,0,
471,measured-agent-decision,1785823381179222,1785823381208422,29200,201,2520907,9493963,2553259,run-root-183592,false,false,true,true,1,0,2,0,0,0,0,
472,measured-agent-decision,1785823381179222,1785823381208787,29565,201,2533799,9503695,2584543,run-root-183596,false,false,true,true,1,0,2,1,0,0,0,
473,measured-agent-decision,1785823381179222,1785823381209123,29901,201,2690715,9602299,2760210,run-root-183648,false,false,true,true,1,0,2,1,0,0,0,
474,measured-agent-decision,1785823381179222,1785823381209509,30287,201,2909240,9670434,2960963,run-root-183717,false,false,true,true,1,0,2,0,0,0,0,
475,measured-agent-decision,1785823381179222,1785823381209826,30604,201,2943621,9667024,3052554,run-root-183722,false,false,true,true,1,0,2,1,0,0,0,
476,measured-agent-decision,1785823381179222,1785823381191334,12112,201,998383,8104847,1087066,run-root-183135,false,false,true,true,1,0,2,1,0,0,0,
477,measured-agent-decision,1785823381179222,1785823381191450,12228,201,1024035,8116343,1105599,run-root-183140,false,false,true,true,1,0,2,1,0,0,0,
