ordinal,journey_kind,scheduled_at_unix_microseconds,offered_at_unix_microseconds,arrival_lag_microseconds,admission_status,admission_microseconds,completion_microseconds,authoritative_completion_microseconds,run_id,idempotency_replay_checked,idempotency_replay_passed,evidence_checked,evidence_passed,total_agent_runs,child_agent_runs,thread_events,workflow_instances,tool_calls,approvals,tool_attempts,error_class
5404,basic-agent-run,1785810419271772,1785810419274123,2351,201,7989150,9024812,8048015,run-root-105291,false,false,true,true,1,0,2,0,0,0,0,
5405,approval-smtp,1785810419273201,1785810419274251,1050,201,2196014,3314822,2262817,run-root-103021,false,false,true,true,1,0,2,0,1,1,1,
5406,basic-agent-run,1785810419274629,1785810419275156,527,201,7512491,8538092,7571896,run-root-105108,false,false,true,true,1,0,2,0,0,0,0,
5407,basic-agent-run,1785810419276058,1785810419277188,1130,201,7997177,9021892,8084095,run-root-105297,false,false,true,true,1,0,2,0,0,0,0,
5408,basic-agent-run,1785810419277486,1785810419278390,904,201,2072704,3268967,2094031,run-root-102983,false,false,true,true,1,0,2,0,0,0,0,
5409,basic-agent-run,1785810419278915,1785810419280159,1244,201,8903045,9928766,8957870,run-root-105646,false,false,true,true,1,0,2,0,0,0,0,
5410,basic-agent-run,1785810419280344,1785810419281236,892,201,10124561,11169049,10168028,run-root-106139,false,false,true,true,1,0,2,0,0,0,0,
5411,basic-agent-run,1785810419281772,1785810419282998,1226,201,8120130,9149664,8210061,run-root-105345,false,false,true,true,1,0,2,0,0,0,0,
5412,basic-agent-run,1785810419283201,1785810419283935,734,201,8132083,9159766,8203359,run-root-105353,false,false,true,true,1,0,2,0,0,0,0,
5413,awaited-workflow,1785810419284629,1785810419284957,328,201,2207581,3308265,2260602,run-root-103032,false,false,true,true,1,0,2,1,0,0,0,
5414,basic-agent-run,1785810419286058,1785810419287557,1499,201,2070655,3243605,2113032,run-root-102988,false,false,true,true,1,0,2,0,0,0,0,
5415,basic-agent-run,1785810419287486,1785810419287799,313,201,9664770,10691288,9667629,run-root-105946,false,false,true,true,1,0,2,0,0,0,0,
5416,basic-agent-run,1785810419288915,1785810419290062,1147,201,2145326,3263878,2190993,run-root-103005,false,false,true,true,1,0,2,0,0,0,0,
5417,basic-agent-run,1785810419290344,1785810419291054,710,201,8669937,9707079,8715652,run-root-105565,false,false,true,true,1,0,2,0,0,0,0,
5418,basic-agent-run,1785810419291772,1785810419293093,1321,201,2095790,3263600,2119310,run-root-102995,false,false,true,true,1,0,2,0,0,0,0,
5419,basic-agent-run,1785810419293201,1785810419293899,698,201,2160905,3266725,2197656,run-root-103013,false,false,true,true,1,0,2,0,0,0,0,
5420,basic-agent-run,1785810419294629,1785810419294904,275,201,8165950,9194599,8213147,run-root-105369,false,false,true,true,1,0,2,0,0,0,0,
5421,child-fanout,1785810419296058,1785810419297121,1063,201,7496593,8529022,7770272,run-root-105111,false,false,true,true,3,2,2,0,0,0,0,
5422,basic-agent-run,1785810419297486,1785810419298200,714,201,2073765,3246972,2146013,run-root-102991,false,false,true,true,1,0,2,0,0,0,0,
5423,basic-agent-run,1785810419298915,1785810419299899,984,201,8780718,9802018,8868677,run-root-105614,false,false,true,true,1,0,2,0,0,0,0,
5424,basic-agent-run,1785810419300344,1785810419301435,1091,201,9569713,10594070,9597972,run-root-105922,false,false,true,true,1,0,2,0,0,0,0,
5425,basic-agent-run,1785810419301772,1785810419303337,1565,201,7502385,8532061,7559033,run-root-105117,false,false,true,true,1,0,2,0,0,0,0,
5426,basic-agent-run,1785810419303201,1785810419303756,555,201,7695723,8723511,7723997,run-root-105186,false,false,true,true,1,0,2,0,0,0,0,
5427,basic-agent-run,1785810419304629,1785810419305825,1196,201,2137539,3258214,2183888,run-root-103012,false,false,true,true,1,0,2,0,0,0,0,
5428,basic-agent-run,1785810419306058,1785810419307074,1016,201,2183599,3284454,2215230,run-root-103031,false,false,true,true,1,0,2,0,0,0,0,
5429,basic-agent-run,1785810419307486,1785810419307784,298,201,2204852,3314987,2250239,run-root-103038,false,false,true,true,1,0,2,0,0,0,0,
5430,basic-agent-run,1785810419308915,1785810419309761,846,201,8906615,9945497,8946716,run-root-105667,false,false,true,true,1,0,2,0,0,0,0,
5431,basic-agent-run,1785810419310344,1785810419310795,451,201,9575090,10613337,9616374,run-root-105923,false,false,true,true,1,0,2,0,0,0,0,
5432,sandbox-artifact,1785810419311772,1785810419313335,1563,201,10090914,11132956,10180020,run-root-106142,false,false,true,true,1,0,2,0,0,0,0,
5433,basic-agent-run,1785810419313201,1785810419314497,1296,201,2145833,3257540,2192476,run-root-103014,false,false,true,true,1,0,2,0,0,0,0,
5434,basic-agent-run,1785810419314629,1785810419314880,251,201,9647936,10685904,9729084,run-root-105963,false,false,true,true,1,0,2,0,0,0,0,
5435,basic-agent-run,1785810419316058,1785810419317002,944,201,8777989,9798317,8875270,run-root-105621,false,false,true,true,1,0,2,0,0,0,0,
5436,basic-agent-run,1785810419317486,1785810419318696,1210,201,10126661,11162193,10186305,run-root-106156,false,false,true,true,1,0,2,0,0,0,0,
5437,basic-agent-run,1785810419318915,1785810419319724,809,201,8180525,9209901,8215382,run-root-105384,false,false,true,true,1,0,2,0,0,0,0,
5438,basic-agent-run,1785810419320344,1785810419320874,530,201,7514521,8546977,7589015,run-root-105131,false,false,true,true,1,0,2,0,0,0,0,
5439,basic-agent-run,1785810419321772,1785810419322774,1002,201,7596006,8620907,7637976,run-root-105159,false,false,true,true,1,0,2,0,0,0,0,
5440,child-fanout,1785810419323201,1785810419323842,641,201,2133856,3251419,2490888,run-root-103019,false,false,true,true,3,2,2,0,0,0,0,
5441,basic-agent-run,1785810419324629,1785810419325005,376,201,2052664,3202798,2106642,run-root-102994,false,false,true,true,1,0,2,0,0,0,0,
