ordinal,journey_kind,scheduled_at_unix_microseconds,offered_at_unix_microseconds,arrival_lag_microseconds,admission_status,admission_microseconds,completion_microseconds,authoritative_completion_microseconds,run_id,idempotency_replay_checked,idempotency_replay_passed,evidence_checked,evidence_passed,total_agent_runs,child_agent_runs,thread_events,workflow_instances,tool_calls,approvals,tool_attempts,error_class
3275,measured-agent-decision,1785821901826087,1785821901828172,2085,201,3952534,15907996,6470754,run-root-172526,false,false,true,true,2,1,2,0,0,0,0,
3276,measured-agent-decision,1785821901828242,1785821901829062,820,201,3557511,16099973,4424634,run-root-172384,false,false,true,true,1,0,2,1,0,0,0,
3277,measured-agent-decision,1785821901830397,1785821901832101,1704,201,3802029,15895270,4716743,run-root-172470,false,false,true,true,1,0,2,1,0,0,0,
3278,measured-agent-decision,1785821901832552,1785821901833073,521,201,4229678,16289469,5186580,run-root-172620,false,false,true,true,1,0,2,1,1,1,1,
3279,measured-agent-decision,1785821901834707,1785821901835388,681,201,3955968,15944048,4910800,run-root-172531,false,false,true,true,1,0,2,0,0,0,0,
3280,measured-agent-decision,1785821901836863,1785821901837642,779,201,4649661,16091314,5693979,run-root-172763,false,false,true,true,1,0,2,1,0,0,0,
3281,measured-agent-decision,1785821901839018,1785821901840410,1392,201,2792130,15590799,3569087,run-root-172120,false,false,true,true,1,0,2,0,0,0,0,
3282,measured-agent-decision,1785821901841173,1785821901842526,1353,201,2791895,15582226,3580591,run-root-172123,false,false,true,true,1,0,2,0,0,0,0,
3283,measured-agent-decision,1785821901843328,1785821901844407,1079,201,4234080,15969149,5179830,run-root-172622,false,false,true,true,1,0,2,0,0,0,0,
3284,measured-agent-decision,1785821901845483,1785821901846502,1019,201,3960053,15907714,4927604,run-root-172537,false,false,true,true,1,0,2,0,0,0,0,
3285,measured-agent-decision,1785821901847639,1785821901848535,896,201,2859532,15603872,3693394,run-root-172140,false,false,true,true,1,0,2,1,0,0,0,
3286,measured-agent-decision,1785821901849794,1785821901850078,284,201,2775502,15580203,3530196,run-root-172121,false,false,true,true,1,0,2,0,0,0,0,
3287,measured-agent-decision,1785821901851949,1785821901853121,1172,201,2750291,15570196,3499791,run-root-172117,false,false,true,true,1,0,2,0,0,0,0,
3288,measured-agent-decision,1785821901854104,1785821901855564,1460,201,4740367,16467696,5824740,run-root-172807,false,false,true,true,1,0,2,1,0,0,0,
3289,measured-agent-decision,1785821901856259,1785821901857684,1425,201,4716763,16172592,5745319,run-root-172798,false,false,true,true,1,0,2,0,0,0,0,
3290,measured-agent-decision,1785821901858414,1785821901859993,1579,201,4218120,15962640,5167898,run-root-172625,false,false,true,true,1,0,2,0,0,0,0,
3291,measured-agent-decision,1785821901860570,1785821901861321,751,201,4565744,16095248,5567187,run-root-172752,false,false,true,true,1,0,2,0,0,0,0,
3292,measured-agent-decision,1785821901862725,1785821901863527,802,201,2801200,15575744,3611769,run-root-172134,false,false,true,true,1,0,2,1,0,0,0,
3293,measured-agent-decision,1785821901864880,1785821901865826,946,201,3616011,16073941,4494481,run-root-172410,false,false,true,true,1,0,2,1,1,1,1,
3294,measured-agent-decision,1785821901867035,1785821901869134,2099,201,2869051,15596687,5086804,run-root-172152,false,false,true,true,5,4,2,0,0,0,0,
3295,measured-agent-decision,1785821901869190,1785821901870355,1165,201,2821178,15579437,3673775,run-root-172141,false,false,true,true,2,1,2,0,0,0,0,
3296,measured-agent-decision,1785821901871345,1785821901872766,1421,201,2856651,15584454,5168683,run-root-172151,false,false,true,true,5,4,2,0,0,0,0,
3297,measured-agent-decision,1785821901873501,1785821901874297,796,201,2781420,15565106,3601436,run-root-172135,false,false,true,true,1,0,2,1,0,0,0,
3298,measured-agent-decision,1785821901875656,1785821901876685,1029,201,4734206,16450252,7561286,run-root-172816,false,false,true,true,2,1,2,0,0,0,0,
3299,measured-agent-decision,1785821901877811,1785821901878604,793,201,4699345,16154909,5740230,run-root-172799,false,false,true,true,1,0,2,0,0,0,0,
3300,measured-agent-decision,1785821901879966,1785821901881611,1645,201,2788040,15567041,3638439,run-root-172136,true,false,true,true,1,0,2,1,0,0,0,idempotency-replay
3301,measured-agent-decision,1785821901882121,1785821901883520,1399,201,4685730,16149908,5710137,run-root-172794,false,false,true,true,1,0,2,0,0,0,0,
3302,measured-agent-decision,1785821901884276,1785821901886011,1735,201,3618301,15767042,4458374,run-root-172419,false,false,true,true,1,0,2,0,0,0,0,
3303,measured-agent-decision,1785821901886432,1785821901887214,782,201,2851322,15583062,3604113,run-root-172154,false,false,true,true,1,0,2,0,0,0,0,
3304,measured-agent-decision,1785821901888587,1785821901889776,1189,201,4627987,16120624,7453593,run-root-172780,false,false,true,true,5,4,2,0,0,0,0,
3305,measured-agent-decision,1785821901890742,1785821901891495,753,201,2747111,15545711,3502349,run-root-172125,false,false,true,true,1,0,2,0,0,0,0,
3306,measured-agent-decision,1785821901892897,1785821901894335,1438,201,4720452,16835787,7599075,run-root-172820,false,false,true,true,2,1,2,0,0,0,0,
3307,measured-agent-decision,1785821901895052,1785821901896763,1711,201,3648570,15763382,4610074,run-root-172436,false,false,true,true,2,1,2,0,0,0,0,
3308,measured-agent-decision,1785821901897207,1785821901898155,948,201,4034859,15887067,5014739,run-root-172576,false,false,true,true,1,0,2,1,1,1,1,
3309,measured-agent-decision,1785821901899363,1785821901900487,1124,201,4065172,15894459,5013791,run-root-172591,false,false,true,true,1,0,2,1,0,0,0,
3310,measured-agent-decision,1785821901901518,1785821901902932,1414,201,2866324,15564468,3625704,run-root-172160,false,false,true,true,1,0,2,0,0,0,0,
3311,measured-agent-decision,1785821901903673,1785821901904415,742,201,2895969,15578642,3701819,run-root-172171,false,false,true,true,1,0,2,1,0,0,0,
3312,measured-agent-decision,1785821901905828,1785821901906969,1141,201,2796380,15541542,4979204,run-root-172144,false,false,true,true,2,1,2,0,0,0,0,
3313,measured-agent-decision,1785821901907983,1785821901909985,2002,201,2905736,15574131,3656850,run-root-172175,false,false,true,true,1,0,2,1,0,0,0,
3314,measured-agent-decision,1785821901910139,1785821901911582,1443,201,4726727,16372640,5760109,run-root-172831,false,false,true,true,1,0,2,0,0,0,0,
3315,measured-agent-decision,1785821901912294,1785821901913697,1403,201,2769749,15531231,3553951,run-root-172137,false,false,true,true,1,0,2,1,0,0,0,
3316,measured-agent-decision,1785821901914449,1785821901915344,895,201,2795003,15534513,4992993,run-root-172145,false,false,true,true,2,1,2,0,0,0,0,
3317,measured-agent-decision,1785821901916604,1785821901917453,849,201,4695278,16965719,7487957,run-root-172818,false,false,true,true,2,1,2,0,0,0,0,
3318,measured-agent-decision,1785821901918759,1785821901919263,504,201,4666560,16053000,5746843,run-root-172805,false,false,true,true,1,0,2,1,0,0,0,
3319,measured-agent-decision,1785821901920914,1785821901922451,1537,201,4670647,16068996,5767501,run-root-172806,false,false,true,true,1,0,2,1,0,0,0,
3320,measured-agent-decision,1785821901923070,1785821901924141,1071,201,4789175,16129670,5852839,run-root-172846,false,false,true,true,1,0,2,1,0,0,0,
3321,measured-agent-decision,1785821901925225,1785821901926282,1057,201,4908325,16170873,6021580,run-root-172885,false,false,true,true,1,0,2,1,0,0,0,
3322,measured-agent-decision,1785821901927380,1785821901928904,1524,201,4845937,16106152,5986803,run-root-172870,false,false,true,true,1,0,2,1,1,1,1,
3323,measured-agent-decision,1785821901929535,1785821901930428,893,201,2791445,15532157,4967410,run-root-172150,false,false,true,true,5,4,2,0,0,0,0,
3324,measured-agent-decision,1785821901931690,1785821901932266,576,201,2897694,15551860,3656837,run-root-172179,false,false,true,true,1,0,2,1,0,0,0,
3325,measured-agent-decision,1785821901933845,1785821901934964,1119,201,4840528,16140975,5960496,run-root-172872,false,false,true,true,1,0,2,1,1,1,1,
3326,measured-agent-decision,1785821901936001,1785821901938236,2235,201,4112061,15865753,6889377,run-root-172612,false,false,true,true,5,4,2,0,0,0,0,
3327,measured-agent-decision,1785821901938156,1785821901939615,1459,201,4172950,15894196,5289767,run-root-172641,false,false,true,true,1,0,2,1,0,0,0,
3328,measured-agent-decision,1785821901940311,1785821901941699,1388,201,4668007,16094047,7590203,run-root-172817,false,false,true,true,2,1,2,0,0,0,0,
3329,measured-agent-decision,1785821901942466,1785821901943667,1201,201,4124929,15864021,5075331,run-root-172621,false,false,true,true,1,0,2,0,0,0,0,
3330,measured-agent-decision,1785821901944621,1785821901945572,951,201,4215198,15909580,5234815,run-root-172660,false,false,true,true,1,0,2,1,1,1,1,
