ordinal,journey_kind,scheduled_at_unix_microseconds,offered_at_unix_microseconds,arrival_lag_microseconds,admission_status,admission_microseconds,completion_microseconds,authoritative_completion_microseconds,run_id,idempotency_replay_checked,idempotency_replay_passed,evidence_checked,evidence_passed,total_agent_runs,child_agent_runs,thread_events,workflow_instances,tool_calls,approvals,tool_attempts,error_class
517,measured-agent-decision,1785823222681096,1785823222699394,18298,201,2375099,11538695,2421486,run-root-182124,false,false,true,true,1,0,2,0,0,0,0,
518,measured-agent-decision,1785823222681096,1785823222699479,18383,201,2437699,11563617,2508713,run-root-182135,false,false,true,true,1,0,2,1,0,0,0,
519,measured-agent-decision,1785823222681096,1785823222701659,20563,201,2558089,11640286,2622832,run-root-182173,false,false,true,true,1,0,2,1,0,0,0,
520,measured-agent-decision,1785823222681096,1785823222703065,21969,201,2589296,11677746,2814880,run-root-182182,false,false,true,true,2,1,2,0,0,0,0,
521,measured-agent-decision,1785823222681096,1785823222704592,23496,201,2714499,11768971,2758130,run-root-182218,false,false,true,true,1,0,2,1,0,0,0,
522,measured-agent-decision,1785823222681096,1785823222706096,25000,201,2859635,11880333,2953955,run-root-182260,false,false,true,true,1,0,2,1,0,0,0,
523,measured-agent-decision,1785823222681096,1785823222707477,26381,201,3179355,12456890,3269182,run-root-182363,false,false,true,true,1,0,2,1,1,1,1,
524,measured-agent-decision,1785823222681096,1785823222707606,26510,201,2968086,11935098,2988866,run-root-182289,false,false,true,true,1,0,2,0,0,0,0,
525,measured-agent-decision,1785823222681096,1785823222707766,26670,201,2983685,11956595,3067799,run-root-182297,false,false,true,true,1,0,2,1,0,0,0,
526,measured-agent-decision,1785823222681096,1785823222707918,26822,201,3025820,11993528,3248655,run-root-182312,false,false,true,true,2,1,2,0,0,0,0,
527,measured-agent-decision,1785823222681096,1785823222707989,26893,201,3363319,12873062,3400708,run-root-182413,false,false,true,true,1,0,2,0,0,0,0,
528,measured-agent-decision,1785823222681096,1785823222689783,8687,201,1598306,11258831,1698131,run-root-181903,false,false,true,true,1,0,2,0,0,0,0,
529,measured-agent-decision,1785823222681096,1785823222691420,10324,201,1680524,11294815,1767283,run-root-181922,false,false,true,true,1,0,2,1,0,0,0,
530,measured-agent-decision,1785823222681096,1785823222696346,15250,201,2128021,11470207,2257432,run-root-182054,false,false,true,true,2,1,2,0,0,0,0,
531,measured-agent-decision,1785823222681096,1785823222696442,15346,201,2115767,11455317,2331859,run-root-182053,false,false,true,true,2,1,2,0,0,0,0,
532,measured-agent-decision,1785823222681096,1785823222697642,16546,201,2277885,11504865,2363853,run-root-182092,false,false,true,true,1,0,2,1,0,0,0,
533,measured-agent-decision,1785823222681096,1785823222697820,16724,201,2279858,11504820,2375545,run-root-182093,false,false,true,true,1,0,2,1,0,0,0,
534,measured-agent-decision,1785823222681096,1785823222699322,18226,201,2397715,11558225,2470420,run-root-182126,false,false,true,true,1,0,2,1,0,0,0,
535,measured-agent-decision,1785823222681096,1785823222701425,20329,201,2481555,11584281,2533339,run-root-182149,false,false,true,true,1,0,2,0,0,0,0,
536,measured-agent-decision,1785823222681096,1785823222702948,21852,201,2625484,11694590,2845042,run-root-182184,false,false,true,true,2,1,2,0,0,0,0,
537,measured-agent-decision,1785823222681096,1785823222703030,21934,201,2580553,11663951,2703127,run-root-182181,false,false,true,true,2,1,2,0,0,0,0,
538,measured-agent-decision,1785823222681096,1785823222704546,23450,201,2693051,11754085,2773936,run-root-182209,false,false,true,true,1,0,2,1,0,0,0,
539,measured-agent-decision,1785823222681096,1785823222704664,23568,201,2965467,11935238,2998637,run-root-182290,false,false,true,true,1,0,2,0,0,0,0,
540,measured-agent-decision,1785823222681096,1785823222706144,25048,201,2780006,11820930,2873709,run-root-182238,false,false,true,true,1,0,2,1,1,1,1,
541,measured-agent-decision,1785823222681096,1785823222707451,26355,201,2951781,11926713,2978766,run-root-182282,false,false,true,true,1,0,2,0,0,0,0,
542,measured-agent-decision,1785823222681096,1785823222707646,26550,201,3197030,12534812,3229555,run-root-182370,false,false,true,true,1,0,2,0,0,0,0,
