ordinal,journey_kind,scheduled_at_unix_microseconds,offered_at_unix_microseconds,arrival_lag_microseconds,admission_status,admission_microseconds,completion_microseconds,authoritative_completion_microseconds,run_id,idempotency_replay_checked,idempotency_replay_passed,evidence_checked,evidence_passed,total_agent_runs,child_agent_runs,thread_events,workflow_instances,tool_calls,approvals,tool_attempts,error_class
43,measured-agent-decision,1785819075299825,1785819075300485,660,201,187856,679947,266786,run-root-115458,false,false,true,true,1,0,2,1,1,1,1,
44,measured-agent-decision,1785819075304136,1785819075305105,969,201,148645,573562,545482,run-root-115450,false,false,true,true,5,4,2,0,0,0,0,
45,measured-agent-decision,1785819075308446,1785819075309438,992,201,148340,1588222,637498,run-root-115452,false,false,true,true,5,4,2,0,0,0,0,
46,measured-agent-decision,1785819075312756,1785819075314229,1473,201,135386,490267,194889,run-root-115454,false,false,true,true,1,0,2,0,0,0,0,
47,measured-agent-decision,1785819075317067,1785819075317515,448,201,134773,551813,191396,run-root-115453,false,false,true,true,1,0,2,0,0,0,0,
48,measured-agent-decision,1785819075321377,1785819075323066,1689,201,115846,540118,330987,run-root-115449,false,false,true,true,2,1,2,0,0,0,0,
49,measured-agent-decision,1785819075325687,1785819075326315,628,201,153516,612089,193995,run-root-115459,false,false,true,true,1,0,2,0,0,0,0,
50,measured-agent-decision,1785819075329998,1785819075331180,1182,201,150332,540379,230846,run-root-115457,false,false,true,true,1,0,2,1,1,1,1,
51,measured-agent-decision,1785819075334308,1785819075336109,1801,201,138416,602359,195163,run-root-115456,false,false,true,true,1,0,2,1,1,1,1,
52,measured-agent-decision,1785819075338618,1785819075339649,1031,201,115313,547067,179573,run-root-115455,false,false,true,true,1,0,2,0,0,0,0,
53,measured-agent-decision,1785819075342929,1785819075343618,689,201,144446,616494,178635,run-root-115460,false,false,true,true,1,0,2,0,0,0,0,
54,measured-agent-decision,1785819075347239,1785819075349266,2027,201,165633,670157,196590,run-root-115465,false,false,true,true,1,0,2,0,0,0,0,
